,Sno,Address,City,State code,Country,Rentel_price,Deposit
167,167,"481 Franklin Street, Buffalo, NY 14202, USA", Buffalo, NY 14202, USA,$ 1250,
168,168,"Buffalo, NY", NY,, USA,$ 3180,
169,169,"6 Stratford Rd, Unit Lower", Unit Lower,, USA,$ 1695,1695
170,170,"Buffalo, NY", NY,, USA,$ 4200,
171,171,"41 Mariner Street, Buffalo, NY 14201, USA", Buffalo, NY 14201, USA,$ 1200,
172,172,"Canisius College, West Delavan Avenue, Buffalo, NY 14213, USA", Buffalo, NY 14213, USA,$ 1650,
173,173,"Buffalo, NY", NY,, USA,$ 3060,
174,174,"Buffalo, NY", NY,, USA,$ 36810,
175,175,"Buffalo, NY", NY,, USA,$ 5040,
176,176,333 High Street,,, USA,$ 745,745
177,177,"166 York Street, Buffalo, NY 14213, USA", Buffalo, NY 14213, USA,$ 1650,
178,178,"79 Commonwealth Avenue, Buffalo, NY 14216, USA", Buffalo, NY 14216, USA,$ 1600,
179,179,"1044 Elmwood Avenue, Buffalo, NY 14222, USA", Buffalo, NY 14222, USA,$ 1500,
180,180,"15 Stratford Road, Buffalo, NY 14216, USA", Buffalo, NY 14216, USA,$ 1350,
181,181,"81 Montrose Avenue, Buffalo, NY 14214, USA", Buffalo, NY 14214, USA,$ 450,
182,182,"78 Mariemont Ave, Unit Lower", Unit Lower,, USA,$ 1350,1350
183,183,"Buffalo, NY", NY,, USA,$ 3750,
184,184,"152 Oxford Avenue, Buffalo, NY 14209, USA", Buffalo, NY 14209, USA,$ 2200,
185,185,615 N. Decker St,,, USA,$ 1500,1500
186,186,"292 Chelsea Place, Buffalo, NY 14215, USA", Buffalo, NY 14215, USA,$ 1100,
187,187,"224 Hartwell Road, Buffalo, NY 14216, USA", Buffalo, NY 14216, USA,$ 1500,
188,188,"15 Rugby Road, Unit Lower", Unit Lower,, USA,$ 1400,1400
189,189,"The Delaware Tower Parking Garage, Highland Avenue, Buffalo, NY 14222, USA", Buffalo, NY 14222, USA,$ 1600,
190,190,"Buffalo, NY", NY,, USA,$ 5850,
191,191,"89 Lisbon Avenue, Buffalo, NY 14214, USA", Buffalo, NY 14214, USA,$ 2000,
192,192,"Buffalo, NY", NY,, USA,$ 5220,
193,193,"Buffalo, NY", NY,, USA,$ 3150,
