,Sno,Washer/Dryer,Air_Conditioning,Parking,Fireplace,Dishwasher,Hardwood_floor,Roofdeck,Storage
463,463,No,Yes,Yes,No,Yes,No,No,No
464,464,Yes,No,Yes,Yes,Yes,Yes,No,Yes
465,465,Yes,No,Yes,No,Yes,Yes,No,No
466,466,No,No,No,No,No,No,No,No
467,467,No,No,No,No,No,No,No,No
468,468,No,Yes,Yes,No,Yes,No,No,No
469,469,No,No,No,No,No,No,No,No
470,470,Yes,No,No,No,Yes,Yes,No,No
471,471,No,No,No,No,No,No,No,No
472,472,No,Yes,Yes,No,Yes,No,No,No
473,473,Yes,No,No,No,Yes,Yes,No,No
474,474,No,No,No,No,No,No,No,No
475,475,No,No,No,No,No,No,No,No
476,476,No,No,No,No,No,No,No,No
477,477,No,No,No,No,No,No,No,No
478,478,No,No,No,No,No,No,No,No
479,479,No,No,No,No,No,No,No,No
480,480,No,No,No,No,No,No,No,No
481,481,No,No,No,No,Yes,Yes,No,No
482,482,No,No,No,No,No,No,No,No
483,483,No,No,No,No,No,No,No,No
484,484,No,No,No,No,No,No,No,No
485,485,No,No,No,No,No,No,No,No
486,486,No,Yes,Yes,No,Yes,No,No,No
487,487,No,Yes,Yes,Yes,Yes,No,No,No
488,488,No,Yes,No,No,No,No,No,No
489,489,No,No,No,No,No,No,No,No
490,490,No,No,No,No,No,No,No,No
491,491,No,Yes,No,No,No,No,No,No
492,492,No,No,No,No,No,No,No,No
493,493,No,No,No,No,No,No,No,No
494,494,No,No,No,No,No,No,No,No
495,495,No,Yes,Yes,No,Yes,No,No,No
496,496,No,Yes,Yes,Yes,Yes,No,No,No
497,497,No,Yes,No,No,No,No,No,No
498,498,No,Yes,Yes,No,Yes,No,No,No
499,499,No,Yes,Yes,No,Yes,No,No,No
500,500,No,Yes,No,Yes,Yes,No,No,No
501,501,No,Yes,Yes,No,Yes,No,No,No
502,502,No,Yes,Yes,Yes,No,No,No,No
503,503,No,Yes,Yes,No,Yes,No,No,No
504,504,No,No,No,No,No,No,No,No
505,505,No,No,No,No,No,No,No,No
506,506,No,No,No,No,No,No,No,No
507,507,No,No,No,No,No,No,No,No
508,508,No,No,No,No,No,No,No,No
509,509,No,No,No,No,No,No,No,No
510,510,No,Yes,No,No,No,No,No,No
511,511,No,Yes,Yes,No,Yes,No,No,No
512,512,No,Yes,Yes,No,Yes,No,No,No
513,513,No,No,No,No,Yes,Yes,No,No
514,514,No,No,No,No,No,No,No,No
515,515,No,Yes,Yes,Yes,Yes,No,No,No
516,516,No,No,No,No,No,No,No,No
517,517,No,Yes,No,No,No,No,No,No
518,518,No,Yes,Yes,No,Yes,No,No,No
519,519,No,No,Yes,No,Yes,No,No,No
520,520,No,No,No,No,No,No,No,No
521,521,No,No,No,No,No,No,No,No
522,522,No,Yes,Yes,No,Yes,No,No,No
523,523,No,No,No,No,No,No,No,No
524,524,No,No,No,No,No,No,No,No
525,525,No,No,No,No,No,No,No,No
526,526,No,No,No,No,No,No,No,No
527,527,No,No,No,No,No,No,No,No
528,528,No,No,No,No,No,No,No,No
529,529,No,Yes,No,No,No,No,No,No
530,530,No,No,No,No,No,No,No,No
531,531,No,No,No,No,No,No,No,No
532,532,No,No,No,No,Yes,No,No,Yes
533,533,No,Yes,No,No,No,No,No,No
534,534,No,No,No,No,No,No,No,No
535,535,No,Yes,Yes,Yes,Yes,No,No,No
536,536,No,Yes,No,No,No,No,No,No
537,537,No,No,No,No,No,No,No,No
538,538,No,No,No,No,Yes,No,No,No
539,539,No,No,No,No,No,No,No,No
540,540,No,Yes,Yes,No,No,No,No,No
541,541,No,No,No,No,No,No,No,No
542,542,No,No,No,No,No,No,No,No
543,543,No,No,No,No,No,No,No,No
544,544,No,No,No,No,No,No,No,No
545,545,No,No,No,No,No,No,No,No
546,546,No,No,No,No,No,No,No,No
547,547,No,No,No,No,No,No,No,No
548,548,No,No,No,No,No,No,No,No
549,549,No,No,Yes,No,Yes,No,No,No
550,550,No,No,No,No,No,No,No,No
551,551,No,No,No,No,No,No,No,No
552,552,No,No,No,No,No,No,No,No
553,553,No,No,No,No,Yes,Yes,No,No
554,554,No,Yes,Yes,No,Yes,No,No,No
555,555,No,No,No,No,Yes,Yes,No,Yes
556,556,No,Yes,Yes,No,No,No,No,No
557,557,No,No,No,No,No,No,No,No
558,558,No,No,No,No,No,No,No,No
559,559,No,No,No,No,No,No,No,No
560,560,No,No,No,No,Yes,No,No,No
561,561,No,No,No,No,No,No,No,No
562,562,No,No,No,No,No,No,No,No
563,563,No,No,No,No,No,No,No,No
564,564,No,No,No,No,No,No,No,No
565,565,No,No,No,No,No,No,No,No
566,566,No,No,No,No,No,No,No,No
567,567,No,No,No,No,No,No,No,No
568,568,No,No,No,No,No,No,No,No
569,569,No,No,No,No,No,No,No,No
570,570,No,No,No,No,No,No,No,No
571,571,No,Yes,Yes,No,Yes,No,No,No
572,572,No,No,No,No,No,No,No,No
573,573,No,No,No,No,No,No,No,No
574,574,No,Yes,Yes,No,Yes,No,No,No
575,575,No,Yes,Yes,No,Yes,No,No,No
576,576,No,Yes,No,No,Yes,No,No,No
577,577,No,No,No,No,No,No,No,No
578,578,No,No,No,No,No,No,No,No
579,579,No,No,No,No,No,No,No,No
